Car Name,Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Description
Peugeot 3008 Crossway,82 000 DT,140 000 km,2018,Traction,Automatique,7 cv,Essence,Tunis,"2018 Peugeot 3008 Crossway TT Options
TEL : 20.888.716 // 22.056.427
 22/09/2018 TU 238
 Toit Panoramique Ouvrant  BVA L’Advanced Grip Conrol
 140.000 KM certifié
 1.2L Essence  7 CV
 Echange Possible .
 Disponible à Notre Showroom SYPHAX AUTO LAC1"
Mercedes-Benz GLA AMG,115 000 DT,67 000 km,2016,Intégrale,Automatique,8 cv,Essence,Tunis,"SUV/4x4, 8 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Navigation, Palettes au volant, Sièges chauffants, Sièges ventilés, Volant multi-fonctions, 3 appuis têtes arrières, Volant chauffant"
Jeep Renegade,79 000 DT,74 000 km,2019,Propulsion,Automatique,8 cv,Essence,Tunis,"SUV/4x4, 8 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Vitres teintées, 3 appuis têtes arrières"
KIA Sportage,Sous leasing                    148 600 DT,39 000 km,2022,Intégrale,Automatique,10 cv,Essence,Tunis,"SUV/4x4, 10 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Boîte à gants réfrigérée, Chargeur CD, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges massants, Sièges réglables en hauteur, Vitres teintées, Volant multi-fonctions, Volant chauffant"
Seat Leon Style,52 000 DT,96 000 km,2014,Intégrale,Automatique,6 cv,Essence,Tunis,"Compacte, 6 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Autoradio CD/Mp3"
Ford Mustang,115 000 DT,16 000 km,2010,Intégrale,Automatique,28 cv,Essence,Tunis,"Coupé, 28 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Autoradio, Autoradio CD, Apple Carplay, Android Auto"
Chery Tiggo 3X Luxury,54 000 DT,75 000 km,2022,Traction,Automatique,6 cv,Essence,Tunis,"SUV/4x4, 6 cv, transmission Traction, Accoudoir avant, Affichage tête haute, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Bluetooth, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Skoda Fabia,49 500 DT,83 000 km,2022,Traction,Manuelle,4 cv,Essence,Tunis,"Coupé, 4 cv, transmission Traction, Accoudoir avant, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Connectivité Aux, usb, iPod, Sièges sport, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
KIA Rio 5p Prestige,64 500 DT,41 000 km,2023,Traction,Manuelle,5 cv,Essence,Tunis,"Coupé, 5 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Instrumentation numérique"
BMW Série 1 Sport,62 000 DT,115 000 km,2015,Intégrale,Automatique,9 cv,Essence,Tunis,"Compacte, 9 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges massants, Sièges ventilés, Sièges réglables en hauteur, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Volant chauffant, Instrumentation numérique"
Renault Arkana Intense,89 000 DT,73 000 km,2022,Intégrale,Automatique,5 cv,Hybride,Ariana,24888808
Mercedes-Benz Classe E Avantgarde,59 000 DT,161 000 km,2009,Propulsion,Automatique,12 cv,Diesel,Tunis,"Berline, 12 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges massants, Sièges ventilés, Sièges réglables en hauteur, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Volant chauffant, Instrumentation numérique"
Mercedes-Benz Classe E Avantgarde,128 000 DT,107 000 km,2018,Traction,Automatique,9 cv,Essence,Tunis,"Berline, 9 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Boîte à gants réfrigérée, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges chauffants, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
DS 4 Crossback,54 000 DT,150 000 km,2017,Traction,Automatique,9 cv,Essence,Tunis,Tel 24888808
Jeep Compass,65 000 DT,65 000 km,2016,Traction,Automatique,10 cv,Essence,Tunis,"SUV/4x4, 10 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Autoradio CD/Mp3, Bluetooth, Boîte à gants réfrigérée, 3 appuis têtes arrières"
Peugeot 2008 Allure Toit Cielo,49 000 DT,61 000 km,2018,Intégrale,Automatique,6 cv,Essence,Tunis,"SUV/4x4, 6 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée"
Mercedes-Benz CLA AMG,78 000 DT,160 000 km,2013,Intégrale,Automatique,8 cv,Essence,Tunis,"Berline, 8 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges chauffants, Sièges massants, Sièges ventilés, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur, Volant chauffant, Instrumentation numérique"
Citroën C4 Seduction,39 000 DT,222 000 km,2014,Intégrale,Manuelle,6 cv,Diesel,Tunis,"Compacte, 6 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Autoradio CD, Autoradio CD/Mp3"
Chery Tiggo 8 Pro,98 000 DT,43 000 km,2022,Propulsion,Automatique,11 cv,Essence,Tunis,"SUV/4x4, 11 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Bluetooth, Chargeur CD, Connectivité Aux, usb, iPod, Navigation, Palettes au volant, Sièges sport, Sièges chauffants, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Citroën C4 Cactus Feel,58 000 DT,148 000 km,2020,Intégrale,Manuelle,6 cv,Diesel,Tunis,"Compacte, 6 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Boîte à gants réfrigérée, Chargeur CD, Connectivité Aux, usb, iPod, Navigation"
Audi A4 Business Plus,79 000 DT,103 000 km,2017,Intégrale,Automatique,8 cv,Essence,Tunis,Première main
Ford Fiesta Titanium,47 000 DT,140 000 km,2019,Traction,Manuelle,4 cv,Diesel,Tunis,Moteur Ehdi 1.5
Mercedes-Benz ML,70 000 DT,195 000 km,2011,Propulsion,Automatique,19 cv,Essence,Tunis,"SUV/4x4, 19 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Android Auto, Bluetooth, Chargeur CD, Connectivité Aux, usb, iPod, Sièges chauffants, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
BMW Série 1,63 000 DT,210 000 km,2019,Propulsion,Automatique,7 cv,Essence,Tunis,"Coupé, 7 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Android Auto, Bluetooth, Connectivité Aux, usb, iPod, Navigation, Sièges ventilés, Sièges réglables en hauteur, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières"
Dacia Logan Écran tactile,54 000 DT,20 000 km,2023,Traction,Manuelle,5 cv,Essence,Ariana,"2023 DACIA LOGAN Première Main
 TEL : 20.888.716 // 22.056.427
 20.000 KM certifié
 1.0L Essence 5CV
 10/07/2023TU 237
 Toute options ( feu led , retroviseur électrique, accoudoire , etc..)
 Disponible à Notre Showroom SYPHAX AUTO LAC"
Great Wall M4 M,39 500 DT,104 000 km,2018,Intégrale,Manuelle,6 cv,Essence,Tunis,"Citadine, 6 cv, transmission Intégrale, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Apple Carplay, Android Auto, Bluetooth, Chargeur CD, Connectivité Aux, usb, iPod, Palettes au volant"
BMW X5,39 000 DT,310 000 km,2003,Traction,Manuelle,12 cv,Diesel,Ariana,"2003 BMW X5 BVM
 TEL : 20.888.716 // 22.056.427
 3.0 Diesel 12 CV Boite manuelle
 Année 2003 TU 109
310 .000 KM certifié
 Échange Possible
 Disponible à Notre Showroom SYPHAX AUTO LAC1"
Fiat 500X,59 500 DT,155 000 km,2018,Traction,Automatique,7 cv,Essence,Tunis,"SUV/4x4, 7 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Bluetooth, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières"
KIA Niro Hybride SX,125 000 DT,63 000 km,2021,Traction,Automatique,5 cv,Hybride,Tunis,"SUV/4x4, 5 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Bluetooth, Boîte à gants réfrigérée, Connectivité Aux, usb, iPod, Navigation, Sièges sport, Sièges réglables en hauteur, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
MG ZS Luxe,57 000 DT,146 000 km,2019,Traction,Automatique,7 cv,Essence,Tunis,"SUV/4x4, 7 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Sièges réglables en hauteur, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Mercedes-Benz Classe C,220 000 DT,41 000 km,2023,Propulsion,Automatique,8 cv,Hybride,Tunis,"Berline, 8 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Bluetooth, Boîte à gants réfrigérée, Connectivité Aux, usb, iPod, Navigation, Sièges sport, Sièges chauffants, Sièges ventilés, Sièges réglables en hauteur, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Mercedes-Benz Classe C,97 000 DT,139 000 km,2019,Propulsion,Automatique,8 cv,Essence,Tunis,"Berline, 8 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Autoradio, Autoradio CD, Autoradio CD/Mp3, Android Auto, Bluetooth, Connectivité Aux, usb, iPod, Navigation, Sièges réglables en hauteur, Sièges électriques, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Audi Q3 Sportback,82 000 DT,200 000 km,2018,Traction,Automatique,8 cv,Essence,Tunis,"SUV/4x4, 8 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Connectivité Aux, usb, iPod, Palettes au volant, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Chevrolet Sonic LS,43 000 DT,67 000 km,2022,Traction,Manuelle,5 cv,Essence,Tunis,"Berline, 5 cv, transmission Traction, Accoudoir avant, Affichage tête haute, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Sièges réglables en hauteur, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Volkswagen Tiguan Confortline,120 000 DT,123 000 km,2018,Propulsion,Manuelle,8 cv,Diesel,Tunis,"SUV/4x4, 8 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Autoradio CD, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Connectivité Aux, usb, iPod, Palettes au volant"
Hyundai i20,69 000 DT,53 000 km,2021,Traction,Automatique,5 cv,Essence,Tunis,"Coupé, 5 cv, transmission Traction, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio CD, Autoradio CD/Mp3, Android Auto, Bluetooth, Chargeur CD, Connectivité Aux, usb, iPod, Sièges sport, Sièges réglables en hauteur, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Ford Fusion,57 000 DT,85 000 km,2016,Propulsion,Manuelle,9 cv,Essence,Tunis,"Berline, 9 cv, transmission Propulsion, Accoudoir avant, Accoudoir arrière, Affichage tête haute, Autoradio CD, Autoradio CD/Mp3, Bluetooth, Connectivité Aux, usb, iPod, Sièges réglables en hauteur, Vitres teintées, Volant/levier de vitesse en cuir, Volant multi-fonctions, 3 appuis têtes arrières, Volant réglable hauteur/profondeur"
Volkswagen Golf 8 GTE,118 000 DT,41 000 km,2021,Traction,Automatique,8 cv,Hybride,Tunis,"98435024
24929898"
Mercedes-Benz CLA AMG,168 000 DT,42 000 km,2021,Traction,Automatique,8 cv,Hybride,Tunis,"98435024
24929898"
Mercedes-Benz Classe C Avantgarde,88 500 DT,140 000 km,2015,Traction,Automatique,8 cv,Essence,Ariana,"Berline, 8 cv, transmission Traction"
Volkswagen Passat R-Line DSG,86 500 DT,102 000 km,2019,Traction,Automatique,8 cv,Essence,Ariana,"Berline, 8 cv, transmission Traction"
BMW X1 Pack Sport M,228 000 DT,0 km,2025,Intégrale,Automatique,8 cv,Essence,Tunis,"98435024
24929898"
Suzuki Vitara,59 500 DT,130 000 km,2018,Traction,Automatique,6 cv,Essence,Béja,"SUV/4x4, 6 cv, transmission Traction"
Mercedes-Benz GLC AMG,175 000 DT,99 000 km,2019,Intégrale,Automatique,10 cv,Diesel,Tunis,"98435024
24929898"
Renault Kadjar Intens,57 500 DT,141 000 km,2019,Traction,Manuelle,6 cv,Essence,Ariana,"SUV/4x4, 6 cv, transmission Traction"
Volkswagen Golf 8 Style,88 500 DT,55 000 km,2021,Traction,Manuelle,6 cv,Essence,Ariana,"Golf 8 ÉDITION, avec Feux, IQ.LIGHT et Caméra de recul, Voiture Importée d'Allemagne , Dernière série de 246Tu…"
Mercedes-Benz CLA AMG,168 000 DT,53 000 km,2021,Traction,Automatique,8 cv,Hybride,Ariana,"Voiture importée d’Allemagne, dernière serie avec des options spécifiques comme la caméra 360 et Feux Multibeam LED …"
Mercedes-Benz Classe C AMG +,520 000 DT,4 000 km,2024,Intégrale,Automatique,37 cv,Hybride,Tunis,"98435024
24929898"
Mercedes-Benz Classe E AMG,385 000 DT,0 km,2024,Intégrale,Automatique,11 cv,Hybride,Tunis,"98435024
24929898"
Mercedes-Benz GLC Plug-in Hybride AMG,242 000 DT,81 000 km,2020,Intégrale,Automatique,11 cv,Hybride,Tunis,"24929898
98435024"
BMW Série 5 Executive Luxury Line,132 000 DT,60 000 km,2019,Propulsion,Automatique,10 cv,Essence,Tunis,"98435024
24929898"
Mercedes-Benz Classe C AMG,155 000 DT,65 000 km,2021,Propulsion,Automatique,7 cv,Diesel,Tunis,"24929898
98435024"
Haval Jolion,88 500 DT,35 000 km,2021,Traction,Automatique,9 cv,Essence,Ariana,"SUV/4x4, 9 cv, transmission Traction"
Volkswagen Polo Prestige,77 000 DT,29 000 km,2023,Traction,Manuelle,5 cv,Essence,Ariana,Voiture Presque Neuf( 29 000 kmseulement ) avec des feux IQ.LIGHT Matrix LED et des sièges en cuir et Alcantara…
Mercedes-Benz CLA,98 000 DT,30 000 km,2017,Traction,Automatique,7 cv,Essence,Ariana,Voiture avec un état neuf 30 000 kmvseulement !!! certifié par la maison Mercedes Tunisie.
Land Rover Range Rover Evoque R-Dynamic,185 000 DT,100 000 km,2020,Intégrale,Automatique,8 cv,Diesel,Tunis,"98435024
24929898"
Land Rover Range Rover Evoque R-Dynamic,198 000 DT,60 000 km,2020,Intégrale,Automatique,8 cv,Diesel,Tunis,"98435024
24929898"
Seat Leon,79 900 DT,65 000 km,2021,Traction,Automatique,8 cv,Essence,Ariana,"Citadine, 8 cv, transmission Traction"
Porsche Cayenne,307 000 DT,128 000 km,2018,Intégrale,Automatique,20 cv,Hybride,Tunis,"98435024
24929898"
Mercedes-Benz Classe C coupé AMG,158 000 DT,80 000 km,2021,Propulsion,Automatique,8 cv,Essence,Ariana,Mercedes classe c coupée importe d’Allemagne dernière serie .
Audi Q2 S-Line,114 000 DT,30 000 km,2021,Traction,Automatique,8 cv,Essence,Ariana,Dernier modèle d’Audi Q2 avec un moteur 4 cylindres 1.4L 150 chevaux avec 30 000 km seulement.
Honda CR-V LX,138 000 DT,60 000 km,2022,Intégrale,Automatique,10 cv,Essence,Ariana,Voiture neuve encore sous garantie Honda Tunisie
Volkswagen Golf 7 Join,76 500 DT,120 000 km,2020,Traction,Automatique,6 cv,Essence,Ariana,"Golf 7 IQ.DRIVE (Boîte Auto)
 ""Importée D'Allemagne
 Série:(  246TU… )"
Volkswagen Golf 8 R-Line,110 000 DT,12 000 km,2022,Traction,Manuelle,8 cv,Hybride,Tunis,"24929898
98435024"
Volkswagen T-roc 1.5,155 000 DT,9 000 km,2024,Traction,Automatique,8 cv,Hybride,Tunis,"98435024
24929898"
Mercedes-Benz Classe C AMG,197 000 DT,32 000 km,2022,Propulsion,Automatique,12 cv,Essence,Tunis,"98435024
24929898"
Volkswagen Golf 8,115 000 DT,40 000 km,2020,Propulsion,Automatique,8 cv,Hybride,Tunis,"98435024
24929898"
Mercedes-Benz Classe C AMG +,248 000 DT,11 000 km,2024,Propulsion,Automatique,9 cv,Hybride,Tunis,"98435024
24929898"
Suzuki Jimny 3 portes,85 500 DT,60 000 km,2021,Intégrale,Automatique,6 cv,Essence,Ariana,"SUV/4x4, 6 cv, transmission Intégrale"
Mercedes-Benz Classe E coupé AMG,68 000 DT,180 000 km,2010,Traction,Automatique,19 cv,Essence,Ariana,Voiture Pour Amateur de Sensation Forte Avec un Moteur V6 Performant et Très fiable  .
Mercedes-Benz Classe C AMG,99 500 DT,180 000 km,2016,Propulsion,Automatique,8 cv,Essence,Ariana,"Berline, 8 cv, transmission Propulsion"
Mercedes-Benz Classe C,105 000 DT,175 000 km,2016,Propulsion,Automatique,8 cv,Essence,Ariana,"Berline, 8 cv, transmission Propulsion"
BMW Série 5 Luxury Line,124 500 DT,155 000 km,2017,Propulsion,Automatique,10 cv,Essence,Ariana,"Berline, 10 cv, transmission Propulsion"
Alpina B7,158 000 DT,115 000 km,2011,Propulsion,Automatique,17 cv,Essence,Tunis,"98435024
24929898"
Porsche Panamera 4S E-hybride plugin,535 000 DT,32 000 km,2021,Intégrale,Automatique,33 cv,Hybride,Tunis,"24929898
98435024"
Audi Q3 Sportback hybrid,175 000 DT,50 000 km,2021,Traction,Automatique,8 cv,Hybride,Tunis,"24929898
98435024"
Jaguar F-Pace R-Sport,269 000 DT,27 000 km,2021,Intégrale,Automatique,16 cv,Essence,Tunis,"24929898
98435024"
Mercedes-Benz Classe E,125 000 DT,157 000 km,2017,Propulsion,Automatique,8 cv,Essence,Tunis,"2017 Mercedes benz E200 KIT AMG

               Châssis long

 TEL : 54.559.000 //25.000.030

.Voiture Puissante .Toutes Options .Écran Tactile .jantes aluminium . Volant Multifonctions .Vitres Électriques .Rétroviseurs Électriques .Bluetooth Téléphone…

 12/05/2017  Dernière immatriculation

157 000 MKm certifié

Échange Possible

2.0 L  Essence 10CV

Disponible à Notre Showroom SYPHAX AUTO PRIX Rue Ibn AL JAZZAR , La MARSA ."
Hyundai Veloster,40 000 DT,185 000 km,2013,Traction,Automatique,8 cv,Essence,Ariana,"Compacte, 8 cv, transmission Traction, Accoudoir avant, Autoradio CD/Mp3, Apple Carplay, Android Auto, Bluetooth, Connectivité Aux, usb, iPod, Navigation, Sièges réglables en hauteur, Sièges électriques, Volant/levier de vitesse en cuir, Volant multi-fonctions, Volant réglable hauteur/profondeur"
Audi A5 Coupé S-Line,45 000 DT,156 000 km,2010,Intégrale,Automatique,10 cv,Essence,Tunis,"À Vendre une très belle Audi A5 S-Line coupée 2.0 L TFSI BVA
• AIS (Audi Infotainment System)
• Boite Automatique
• Mise en circulation : 2010
• Kilométrage: 155 000 km
• Puissance fiscale : 10 cv
• Energie : Essence 2.0L
• Série : 214
• Radar de recul
• Full LED
• Climatronic
• Sièges en cuir beige
Très propre / Très Bon État presque neuve
Mob. : 94 871 242"
Audi A5 Sportback S-Line,108 000 DT,73 000 km,2019,Traction,Automatique,8 cv,Essence,Ben Arous,"audi a5 sportback S line 8/2019 // 73 milles km (certifié) // 150 cv din (8cv)
carnet d entretien maison volkswagen
boite auto s-tronic 7 rapports
sellerie vrai cuir
affichage tete haute
deux sieges avant electriques
limiteur et regulateur de vitesse
climatronic 3 zones
acces et demarrage sans clé
park assistant
camera de recul
jantes 18""
start and stop
radar 360
detecteur lumiere/pluie
retro rabattables degivrants
coffre avec ouverture/fermeture electrique
num : 27 91 70 80"
Mercedes-Benz Classe A AMG,178 000 DT,10 000 km,2023,Traction,Automatique,8 cv,Essence,Tunis,À vendre Mercedes A200 KIT AMG PACK NIGHT Récemment Importée De L’Allemagne Dernière matricule TU 249 svp prix légèrement négociable et curieux s’abstenir Tel 98214267//53402770
Land Rover Range Rover Evoque R-Dynamic,195 000 DT,90 000 km,2019,Propulsion,Automatique,8 cv,Diesel,Tunis,À vendre range Rover évoque finition R-Dynamic toit panoramique avec caméra 360 intérieur cuir rouge cerise avec des sièges électriques à mémoire svp prix légèrement négociable et curieux s’abstenir tel 98214267//53402770
Mercedes-Benz Classe S,112 000 DT,165 000 km,2010,Traction,Automatique,18 cv,Essence,Tunis,À vendre ou à échange S 350 berline toutes options voitures très très propre comme neuve jantes 20’´ AMG svp prix légèrement négociable et curieux s’abstenir TEL 98214267///53402770
