Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Brand,Model,Exterior Color,Interior Color,Upholstery,Seats,Doors,Energy,Gearbox Type,Fiscal Power,Transmission Type,Engine Displacement
240 505DT,25 000km,01.2024,Traction,Automatique,8cv,Hybride rechargeable essence,Tunis,Audi,Q3,Gris Shark,Noir,Alcantara,5,5,Hybride rechargeable essence,Automatique,8cv,Traction,1400cm³
183 024DT,42 000km,12.2022,Traction,Automatique,11cv,Essence,Ariana,Volvo,S60,Blanc,Noir,Cuir intégral,5,5,Essence,Automatique,11cv,Traction,1660cm³
196 160DT,60 000km,08.2021,Traction,Automatique,9cv,Hybride essence,Tunis,Mercedes-Benz,GLA,Gris Shark,Noir,Cuir intégral,5,5,Hybride essence,Automatique,9cv,Traction,2499cm³
80 634DT,100 000km,04.2021,Traction,Manuelle,5cv,Essence,Sousse,Skoda,Kamiq,Bleu,Autre,Tissu,5,4,Essence,Manuelle,5cv,Traction,999cm³
303 930DT,46 000km,10.2021,Traction,Automatique,10cv,Hybride rechargeable essence,Ben Arous,Mercedes-Benz,GLC Plug-in Hybride,Noir,Gris,Alcantara,5,5,Hybride rechargeable essence,Automatique,10cv,Traction,1999cm³
40 119DT,0km,07.2021,Traction,Manuelle,4cv,Essence,Nabeul,Suzuki,Celerio Populaire,Rouge,Noir,Similicuir,5,4,Essence,Manuelle,4cv,Traction,899cm³
102 634DT,16 000km,01.2023,Traction,Automatique,7cv,Essence,Tunis,Ford,Ecosport,Gris anthracite,Noir,Tissu,5,5,Essence,Automatique,7cv,Traction,999cm³
54 958DT,180 000km,10.2014,Traction,Automatique,8cv,Essence,Tunis,KIA,Cerato 5p,Marron,Gris,Tissu,5,5,Essence,Automatique,8cv,Traction,1598cm³
131 432DT,93 000km,09.2021,Traction,Manuelle,8cv,Diesel,Ariana,Peugeot,Expert,Blanc,Noir,Cuir intégral,9,5,Diesel,Manuelle,8cv,Traction,1997cm³
45 702DT,205 000km,11.2017,Traction,Manuelle,4cv,Essence,Médenine,Hyundai,Grand i10,Gris anthracite,Autre,Tissu,5,5,Essence,Manuelle,4cv,Traction,1248cm³
57 382DT,149 000km,03.2021,Traction,Manuelle,5cv,Essence,Ben Arous,Renault,Clio,Gris anthracite,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1198cm³
127 180DT,156 000km,08.2019,Traction,Automatique,8cv,Essence,Ariana,Volkswagen,Tiguan,Gris argent,Marron,Cuir intégral,4,5,Essence,Automatique,8cv,Traction,1398cm³
66 930DT,78 000km,10.2021,Traction,Manuelle,4cv,Hybride essence,Nabeul,Fiat,500,Blanc,Beige,Cuir partiel,3,5,Hybride essence,Manuelle,4cv,Traction,1198cm³
70 717DT,281 000km,03.2016,Intégrale,Automatique,9cv,Essence,Tunis,Toyota,RAV 4,Beige,Beige,Cuir intégral,5,4,Essence,Automatique,9cv,Intégrale,1987cm³
99 429DT,141 132km,11.2015,Traction,Automatique,8cv,Essence,Ariana,Audi,Q3,Beige,Noir,Tissu,5,4,Essence,Automatique,8cv,Traction,1400cm³
110 393DT,53 000km,08.2021,Traction,Automatique,8cv,Essence,Ariana,KIA,Seltos,Gris Shark,Noir,Similicuir,5,5,Essence,Automatique,8cv,Traction,1500cm³
60 474DT,240 000km,05.2013,Traction,Manuelle,6cv,Essence,Ben Arous,Mercedes-Benz,Classe A,Blanc,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,1600cm³
163 200DT,111 000km,09.2019,Traction,Automatique,10cv,Essence,Ariana,Mercedes-Benz,Classe C,Gris anthracite,Noir,Velours,5,4,Essence,Automatique,10cv,Traction,1497cm³
53 925DT,250 000km,06.2014,Intégrale,Automatique,8cv,Essence,Gabès,KIA,Cerato,Gris Shark,Gris,Tissu,5,5,Essence,Automatique,8cv,Intégrale,1599cm³
98 501DT,98 000km,01.2022,Traction,Manuelle,6cv,Essence,Nabeul,Volkswagen,Golf 8,Blanc,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,999cm³
267 355DT,100 000km,01.2014,Traction,Automatique,20cv,Essence,Tunis,Porsche,Panamera,Noir,N/A,N/A,N/A,N/A,Essence,Automatique,20cv,Traction,N/A
128 911DT,82 000km,04.2016,Propulsion,Automatique,8cv,Essence,Sfax,Mercedes-Benz,Classe C,Blanc,Noir,Cuir intégral,5,5,Essence,Automatique,8cv,Propulsion,1595cm³
220 943DT,35 000km,01.2020,Propulsion,Automatique,6cv,Hybride rechargeable essence,Tunis,Mercedes-Benz,Classe C,Noir,Noir,Cuir partiel,5,4,Hybride rechargeable essence,Automatique,6cv,Propulsion,1998cm³
103 253DT,100 000km,11.2016,Intégrale,Manuelle,7cv,Diesel,Ariana,Volkswagen,Transporter Fourgon 6.1,Blanc,Gris,Tissu,3,4,Diesel,Manuelle,7cv,Intégrale,2000cm³
128 800DT,157 000km,06.2016,Traction,Automatique,6cv,Diesel,Tunis,Mercedes-Benz,Classe C,Noir,Noir,Similicuir,5,4,Diesel,Automatique,6cv,Traction,1598cm³
75 678DT,287 000km,02.2014,Traction,Manuelle,6cv,Diesel,Nabeul,Audi,A3,Rouge,Noir,Cuir intégral,5,5,Diesel,Manuelle,6cv,Traction,1598cm³
67 635DT,100 000km,04.2022,Intégrale,Manuelle,5cv,Essence,Sousse,Suzuki,Swift,Gris argent,Noir,Tissu,5,5,Essence,Manuelle,5cv,Intégrale,1197cm³
104 317DT,170 000km,01.2016,Traction,Automatique,8cv,Essence,Tunis,Mercedes-Benz,Classe C,Noir,Beige,Cuir intégral,5,5,Essence,Automatique,8cv,Traction,1599cm³
126 499DT,69 000km,08.2020,Propulsion,Manuelle,6cv,Diesel,Nabeul,Volkswagen,Golf 8,Gris argent,Noir,Tissu,5,4,Diesel,Manuelle,6cv,Propulsion,1998cm³
68 177DT,68 954km,01.2019,Traction,Manuelle,5cv,Essence,Ariana,KIA,Rio 5p,Marron,Gris,Tissu,5,4,Essence,Manuelle,5cv,Traction,1200cm³
177 492DT,115 000km,09.2011,Propulsion,Automatique,17cv,Essence,Tunis,Alpina,B7,Bleu,Marron,Cuir intégral,5,4,Essence,Automatique,17cv,Propulsion,4999cm³
73 283DT,135 000km,11.2018,Traction,Automatique,7cv,Essence,Ariana,Ford,Ecosport,Beige,Noir,Tissu,5,5,Essence,Automatique,7cv,Traction,cm³
124 029DT,270 000km,08.2008,Traction,Automatique,15cv,Diesel,Tunis,BMW,X6,Noir,Rouge,Cuir intégral,5,5,Diesel,Automatique,15cv,Traction,3000cm³
56 324DT,256 000km,09.2017,Traction,Manuelle,6cv,Diesel,Ben Arous,Ford,Transit,Blanc,N/A,N/A,N/A,N/A,Diesel,Manuelle,6cv,Traction,N/A
129 637DT,128 000km,06.2017,Traction,Automatique,8cv,Essence,Tunis,Mercedes-Benz,Classe C,Noir,Beige,Cuir intégral,5,5,Essence,Automatique,8cv,Traction,1599cm³
57 877DT,82 000km,09.2016,Traction,Manuelle,6cv,Essence,Ben Arous,Ford,Focus,Bleu,Noir,Tissu,5,4,Essence,Manuelle,6cv,Traction,2261cm³
206 602DT,60 000km,04.2010,Intégrale,Automatique,32cv,Essence,Nabeul,Land Rover,Range Rover,Noir,Autre,Cuir intégral,5,5,Essence,Automatique,32cv,Intégrale,4197cm³
41 455DT,210 000km,11.2016,Traction,Manuelle,4cv,Essence,Sousse,Fiat,Punto,Blanc,Noir,Tissu,5,5,Essence,Manuelle,4cv,Traction,1200cm³
184 792DT,100 000km,04.2019,Traction,Automatique,11cv,Essence,Tunis,Mercedes-Benz,Classe E coupé,Blanc,Noir,Alcantara,4,3,Essence,Automatique,11cv,Traction,1997cm³
71 398DT,139 199km,11.2019,Traction,Manuelle,6cv,Diesel,Ariana,Peugeot,Expert,Blanc,Noir,Tissu,3,4,Diesel,Manuelle,6cv,Traction,1500cm³
65 212DT,177 000km,11.2020,Traction,Manuelle,6cv,Essence,Tunis,Seat,Leon,Gris argent,Gris,Tissu,5,5,Essence,Manuelle,6cv,Traction,1197cm³
46 976DT,174 000km,08.2010,Traction,Manuelle,6cv,Essence,Sfax,KIA,Rio Berline,Autre,Beige,Tissu,5,4,Essence,Manuelle,6cv,Traction,1399cm³
71 295DT,324 765km,01.2013,Intégrale,Automatique,11cv,Diesel,Ariana,Hyundai,ix35,Gris anthracite,Marron,Similicuir,5,4,Diesel,Automatique,11cv,Intégrale,2000cm³
227 394DT,41 000km,08.2023,Propulsion,Automatique,9cv,Essence,Ben Arous,Mercedes-Benz,Classe C,Noir,Noir,Cuir partiel,5,5,Essence,Automatique,9cv,Propulsion,1500cm³
60 943DT,252 000km,03.2012,Traction,Automatique,5cv,Diesel,Ben Arous,Volkswagen,Golf 6,Noir,Marron,Similicuir,5,4,Diesel,Automatique,5cv,Traction,1598cm³
50 130DT,99 000km,12.2016,Intégrale,Automatique,5cv,Essence,Tunis,Hyundai,Grand i10,Noir,Noir,Tissu,5,5,Essence,Automatique,5cv,Intégrale,cm³
71 049DT,150 000km,08.2016,Traction,Manuelle,6cv,Essence,Ben Arous,Nissan,Qashqai,Noir,Noir,Cuir intégral,4,4,Essence,Manuelle,6cv,Traction,1197cm³
79 929DT,200 000km,05.2012,Traction,Automatique,11cv,Essence,Ariana,Mercedes-Benz,Classe E coupé,Blanc,Marron,Cuir intégral,4,3,Essence,Automatique,11cv,Traction,1796cm³
95 915DT,276 770km,01.2009,Traction,Automatique,23cv,Essence,Tunis,BMW,Série 7,Gris anthracite,Marron,Cuir intégral,5,4,Essence,Automatique,23cv,Traction,2979cm³
213 028DT,39 000km,09.2023,Traction,Automatique,8cv,Hybride rechargeable essence,Monastir,Mercedes-Benz,CLA,Blanc,Noir,Alcantara,5,4,Hybride rechargeable essence,Automatique,8cv,Traction,1332cm³
250 256DT,60 000km,11.2020,Propulsion,Automatique,11cv,Hybride essence,Sousse,Mercedes-Benz,Classe E coupé,Blanc,Noir,Cuir intégral,4,2,Hybride essence,Automatique,11cv,Propulsion,1991cm³
84 237DT,66 345km,11.2021,Traction,Manuelle,5cv,Essence,Ariana,KIA,Rio 5p,Noir,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1200cm³
134 723DT,56 000km,07.2022,Traction,Automatique,8cv,Essence,Tunis,Audi,A3 Berline,Bleu,Noir,Tissu,5,5,Essence,Automatique,8cv,Traction,1395cm³
143 214DT,160 000km,08.2017,Traction,Automatique,8cv,Diesel,Tunis,Land Rover,Discovery Sport,Beige,Beige,Cuir intégral,5,5,Diesel,Automatique,8cv,Traction,2999cm³
366 155DT,48 000km,06.2023,Intégrale,Automatique,10cv,Diesel,Tunis,BMW,Série 4 Gran Coupé,Autre,Noir,Cuir intégral,5,5,Diesel,Automatique,10cv,Intégrale,cm³
51 402DT,8 500km,08.2022,Traction,Manuelle,4cv,Essence,Ben Arous,Renault,Kwid Populaire,Bleu,Gris,Tissu,5,5,Essence,Manuelle,4cv,Traction,999cm³
57 021DT,149 000km,03.2021,Traction,Manuelle,5cv,Essence,Ben Arous,Renault,Clio,Gris anthracite,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1198cm³
83 592DT,33 000km,06.2021,Traction,Automatique,6cv,Essence,Ben Arous,Nissan,Juke,Autre,Noir,Tissu,5,5,Essence,Automatique,6cv,Traction,999cm³
194 448DT,30 570km,12.2021,Traction,Automatique,8cv,Essence,Ariana,Mercedes-Benz,Classe C,Noir,Beige,Cuir partiel,5,4,Essence,Automatique,8cv,Traction,1500cm³
96 586DT,114 123km,09.2016,Traction,Manuelle,8cv,Essence,Tunis,Mercedes-Benz,Classe C,Gris argent,Gris,Tissu,5,4,Essence,Manuelle,8cv,Traction,1595cm³
69 630DT,63 000km,10.2021,Traction,Manuelle,4cv,Essence,Tunis,Volkswagen,Polo,Noir,Noir,Tissu,5,5,Essence,Manuelle,4cv,Traction,999cm³
186 359DT,20 000km,07.2020,Traction,Automatique,9cv,Essence,Tunis,Mercedes-Benz,CLA,Blanc,Noir,Alcantara,5,4,Essence,Automatique,9cv,Traction,1400cm³
116 169DT,140 000km,01.2021,Traction,Automatique,10cv,Essence,Tunis,DS,7 Crossback,Blanc,Noir,Cuir intégral,5,5,Essence,Automatique,10cv,Traction,1998cm³
152 919DT,60 000km,10.2022,Intégrale,Automatique,10cv,Essence,Ariana,Honda,CR-V,Noir,Noir,Cuir intégral,5,5,Essence,Automatique,10cv,Intégrale,2000cm³
100 114DT,22 000km,11.2023,Traction,Automatique,8cv,Essence,Nabeul,Chevrolet,Captiva,Noir,Marron,Alcantara,7,5,Essence,Automatique,8cv,Traction,1498cm³
42 632DT,150 000km,12.2014,Traction,Manuelle,7cv,Essence,Tunis,Fiat,Linea,Noir,Gris,Tissu,5,4,Essence,Manuelle,7cv,Traction,1368cm³
104 575DT,145 000km,02.2016,Intégrale,Automatique,16cv,Essence,Monastir,KIA,Sorento,Gris Shark,Gris,Similicuir,5,5,Essence,Automatique,16cv,Intégrale,1988cm³
46 512DT,150 000km,12.2017,Traction,Manuelle,4cv,Essence,Tunis,Suzuki,Celerio,Gris argent,Noir,Similicuir,5,5,Essence,Manuelle,4cv,Traction,1000cm³
57 972DT,213 000km,09.2014,Intégrale,Automatique,8cv,Diesel,Ariana,KIA,Carens,Gris argent,Noir,Cuir intégral,5,4,Diesel,Automatique,8cv,Intégrale,1685cm³
129 594DT,141 000km,01.2019,Traction,Automatique,7cv,Diesel,Ariana,Mercedes-Benz,Classe A,Noir,Noir,Alcantara,5,4,Diesel,Automatique,7cv,Traction,1300cm³
68 444DT,173 000km,03.2016,Intégrale,Automatique,7cv,Diesel,Ariana,Ssangyong,Tivoli,Noir,Beige,Cuir intégral,5,5,Diesel,Automatique,7cv,Intégrale,1600cm³
81 045DT,65 000km,03.2016,Traction,Automatique,10cv,Essence,Tunis,Jeep,Compass,Gris argent,Marron,Cuir intégral,5,5,Essence,Automatique,10cv,Traction,1400cm³
61 056DT,30 000km,02.2020,Traction,Manuelle,6cv,Essence,Nabeul,Chery,Tiggo 2,Rouge,Noir,Cuir partiel,5,4,Essence,Manuelle,6cv,Traction,1497cm³
166 146DT,39 000km,06.2022,Intégrale,Automatique,10cv,Essence,Tunis,KIA,Sportage,Noir,Noir,Cuir intégral,5,4,Essence,Automatique,10cv,Intégrale,1600cm³
473 860DT,19 000km,01.2021,Traction,Automatique,15cv,Hybride rechargeable essence,Tunis,BMW,X5,Noir,Marron,Cuir intégral,5,5,Hybride rechargeable essence,Automatique,15cv,Traction,3000cm³
113 538DT,53 000km,03.2008,Traction,Automatique,15cv,Diesel,Tunis,Mercedes-Benz,Classe S,Blanc,Marron,Cuir intégral,5,4,Diesel,Automatique,15cv,Traction,3500cm³
94 924DT,150 000km,01.2014,Traction,Automatique,7cv,Essence,Monastir,BMW,Série 3,Blanc,Marron,Cuir intégral,5,4,Essence,Automatique,7cv,Traction,1598cm³
86 785DT,79 800km,06.2021,Traction,Automatique,9cv,Essence,Ben Arous,Chery,Tiggo 4,Blanc,Noir,Cuir intégral,5,4,Essence,Automatique,9cv,Traction,cm³
83 844DT,23 000km,04.2022,Traction,Manuelle,5cv,Essence,Tunis,Hyundai,i20,Gris Shark,Noir,Tissu,05,05,Essence,Manuelle,5cv,Traction,1198cm³
74 146DT,183 000km,06.2015,Traction,Automatique,5cv,Essence,Sousse,Volkswagen,Golf 7,Noir,Gris,Tissu,5,5,Essence,Automatique,5cv,Traction,1197cm³
80 924DT,36 000km,03.2023,Traction,Manuelle,5cv,Essence,Ariana,KIA,Rio 5p,Rouge,Noir,Cuir partiel,5,5,Essence,Manuelle,5cv,Traction,1199cm³
126 288DT,150 000km,11.2017,Traction,Automatique,9cv,Essence,Bizerte,Volkswagen,Tiguan,Gris argent,Noir,Tissu,5,4,Essence,Automatique,9cv,Traction,1390cm³
191 679DT,77 986km,06.2021,Propulsion,Automatique,8cv,Hybride rechargeable essence,Sfax,Audi,Q3,Gris argent,Gris,Tissu,5,4,Hybride rechargeable essence,Automatique,8cv,Propulsion,1498cm³
115 945DT,68 000km,01.2021,Intégrale,Manuelle,8cv,Diesel,Nabeul,Volkswagen,Golf 8,Gris argent,Noir,Tissu,5,5,Diesel,Manuelle,8cv,Intégrale,2000cm³
96 109DT,212 000km,06.2009,Traction,Automatique,30cv,Essence,Ben Arous,Porsche,Cayenne,Noir,N/A,N/A,N/A,N/A,Essence,Automatique,30cv,Traction,N/A
246 965DT,98 000km,02.2021,Traction,Automatique,11cv,Hybride rechargeable diesel,Nabeul,Mercedes-Benz,Classe E,Gris Shark,Noir,Alcantara,5,5,Hybride rechargeable diesel,Automatique,11cv,Traction,1998cm³
103 910DT,120 000km,06.2021,Traction,Automatique,5cv,Hybride essence,Tunis,KIA,Niro Hybride,Noir,Noir,Alcantara,5,4,Hybride essence,Automatique,5cv,Traction,1598cm³
261 631DT,24 804km,06.2020,Traction,Automatique,11cv,Essence,Sfax,Mercedes-Benz,GLC Coupé,Noir,Noir,Cuir intégral,5,4,Essence,Automatique,11cv,Traction,1991cm³
187 560DT,6 000km,07.2024,Traction,Automatique,8cv,Essence,Tunis,Volkswagen,Tiguan,Noir,Gris,Similicuir,5,5,Essence,Automatique,8cv,Traction,1498cm³
72 892DT,196 000km,05.2018,Traction,Automatique,9cv,Essence,Tunis,MG,GS,Blanc,Beige,Cuir intégral,5,4,Essence,Automatique,9cv,Traction,1490cm³
135 244DT,70 000km,10.2020,Traction,Automatique,8cv,Hybride essence,Jendouba,Volkswagen,Golf 8,Autre,Autre,Velours,5,5,Hybride essence,Automatique,8cv,Traction,1498.0cm³
64 467DT,102 000km,06.2018,Traction,Manuelle,5cv,Essence,Médenine,KIA,Rio 5p,Gris Shark,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1390cm³
177 287DT,24 000km,07.2023,Traction,Automatique,10cv,Essence,Tunis,Hyundai,Tucson,Vert,Noir,Cuir intégral,5,5,Essence,Automatique,10cv,Traction,1599cm³
24 397DT,200 100km,06.2007,Traction,Manuelle,7cv,Diesel,Ben Arous,Peugeot,Boxer,Blanc,Noir,Tissu,3,2,Diesel,Manuelle,7cv,Traction,1219cm³
67 058DT,253 000km,07.2011,Intégrale,Manuelle,7cv,Diesel,Nabeul,Volkswagen,Amarok,Noir,Noir,Cuir partiel,5,5,Diesel,Manuelle,7cv,Intégrale,2000cm³
92 784DT,100 000km,02.2022,Traction,Automatique,9cv,Essence,Tunis,Haval,Jolion,Gris argent,Beige,Cuir intégral,5,5,Essence,Automatique,9cv,Traction,1599cm³
125 205DT,32 000km,10.2020,Traction,Automatique,7cv,Hybride essence,Tunis,Ford,Mondeo,Noir,Noir,Cuir intégral,5,5,Hybride essence,Automatique,7cv,Traction,1599cm³
87 792DT,100 000km,10.2019,Traction,Manuelle,5cv,Essence,Ariana,Volkswagen,Golf 7,Blanc,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1400cm³
96 558DT,10 000km,08.2022,Traction,Automatique,6cv,Essence,Tunis,Toyota,Corolla,Gris argent,Gris,Tissu,5,4,Essence,Automatique,6cv,Traction,1200cm³
58 879DT,60 000km,07.2021,Traction,Automatique,4cv,Essence,Bizerte,Fiat,500,Aubergine,Beige,Tissu,5,2,Essence,Automatique,4cv,Traction,1198cm³
84 777DT,189 000km,09.2018,Intégrale,Manuelle,6cv,Essence,Tunis,Volkswagen,Golf 7,Blanc,Noir,Tissu,5,5,Essence,Manuelle,6cv,Intégrale,1400cm³
119 796DT,158 000km,03.2020,Traction,Automatique,6cv,Diesel,Nabeul,Mercedes-Benz,Classe A,Noir,Noir,Alcantara,5,5,Diesel,Automatique,6cv,Traction,1498cm³
185 751DT,58 000km,05.2021,Traction,Automatique,8cv,Essence,Tunis,Audi,A5 Sportback,Blanc,Marron,Cuir intégral,5,4,Essence,Automatique,8cv,Traction,2000cm³
130 955DT,115 000km,12.2016,Traction,Automatique,8cv,Diesel,Tunis,Land Rover,Range Rover Evoque,Gris Shark,Beige,Cuir intégral,5,4,Diesel,Automatique,8cv,Traction,2000cm³
81 751DT,198 000km,10.2019,Traction,Automatique,6cv,Diesel,Mahdia,Renault,Megane,Bleu,Noir,Cuir intégral,5,5,Diesel,Automatique,6cv,Traction,1498cm³
77 625DT,31 000km,01.2023,Traction,Manuelle,5cv,Diesel,Ben Arous,Citroën,Berlingo Utilitaire,Blanc,Noir,Tissu,2,3,Diesel,Manuelle,5cv,Traction,1600cm³
203 771DT,300 000km,10.2016,Traction,Automatique,19cv,Diesel,Tunis,Land Rover,Range Rover Sport,Noir,Beige,Cuir intégral,5,5,Diesel,Automatique,19cv,Traction,3500cm³
69 693DT,87 000km,12.2018,Traction,Manuelle,5cv,Essence,Ben Arous,KIA,Rio 5p,Bleu,Autre,Tissu,5,5,Essence,Manuelle,5cv,Traction,cm³
53 429DT,400 000km,08.2006,Intégrale,Manuelle,10cv,Diesel,Tunis,Mitsubishi,L200 Double Cabine,Noir,Gris,Tissu,5,4,Diesel,Manuelle,10cv,Intégrale,2400cm³
43 818DT,192 000km,09.2011,Traction,Manuelle,5cv,Essence,Ben Arous,Citroën,C3,Noir,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1398cm³
61 165DT,74 000km,10.2022,Traction,Manuelle,5cv,Essence,Tunis,Opel,Corsa,Noir,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,cm³
56 796DT,300 000km,04.2003,Traction,Manuelle,10cv,Diesel,Ariana,Jeep,Grand Cherokee,Gris Shark,Noir,Cuir intégral,5,5,Diesel,Manuelle,10cv,Traction,1000cm³
171 367DT,120 000km,07.2019,Traction,Automatique,10cv,Hybride essence,Tunis,Mercedes-Benz,Classe C,Blanc,Noir,Cuir intégral,5,5,Hybride essence,Automatique,10cv,Traction,1599cm³
142 078DT,16 463km,12.2022,Traction,Manuelle,7cv,Essence,Ariana,Peugeot,5008,Gris anthracite,Noir,Cuir partiel,5,5,Essence,Manuelle,7cv,Traction,1198cm³
45 524DT,111 000km,01.2020,Traction,Manuelle,4cv,Essence,Ariana,Skoda,Fabia,Gris Shark,Gris,Tissu,5,4,Essence,Manuelle,4cv,Traction,6999cm³
72 523DT,46 000km,06.2019,Traction,Manuelle,5cv,Essence,Ben Arous,Skoda,Rapid,Gris argent,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,999cm³
140 333DT,55 000km,05.2021,Traction,Automatique,9cv,Essence,Tunis,Mitsubishi,ASX,Noir,N/A,N/A,N/A,N/A,Essence,Automatique,9cv,Traction,N/A
80 556DT,100 000km,10.2019,Traction,Manuelle,5cv,Essence,Ariana,Volkswagen,Golf 7,Blanc,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1400cm³
62 623DT,47 000km,05.2016,Traction,Manuelle,5cv,Essence,Bizerte,Renault,Clio,Noir,Rouge,Similicuir,5,5,Essence,Manuelle,5cv,Traction,898cm³
121 344DT,78 000km,03.2017,Traction,Automatique,7cv,Essence,Tunis,BMW,Série 4 Coupé,Noir,N/A,N/A,N/A,N/A,Essence,Automatique,7cv,Traction,N/A
65 289DT,170 000km,01.2020,Traction,Manuelle,4cv,Essence,Sfax,Seat,Ibiza,Blanc,Noir,Tissu,5,5,Essence,Manuelle,4cv,Traction,1000cm³
61 869DT,102 000km,01.2020,Traction,Manuelle,5cv,Essence,Monastir,Peugeot,308,Gris Shark,Gris,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
153 662DT,60 000km,10.2022,Intégrale,Automatique,10cv,Essence,Ariana,Honda,CR-V,Noir,Noir,Cuir intégral,5,5,Essence,Automatique,10cv,Intégrale,2000cm³
65 399DT,232 000km,11.2011,Traction,Automatique,11cv,Essence,Ben Arous,KIA,Sportage,Gris argent,Noir,Similicuir,5,5,Essence,Automatique,11cv,Traction,1999cm³
97 017DT,160 000km,11.2008,Intégrale,Automatique,31cv,Essence,Ariana,BMW,Série 7,Noir,Beige,Cuir intégral,5,4,Essence,Automatique,31cv,Intégrale,4400cm³
